Name,Latitude,Longitude,Platform / Entrance,Collected By,Collected On,Line,Step free,
Stepney Green,51.521884,-0.046546,Entrance,User:Gagravarr,18/11/06,"District, Hammersmith & City",,
Stockwell,51.47224,-0.1227,Entrance,User:Parsingphase,-2006,"Northern, Victoria",,
Stonebridge Park,51.54402388,-0.275978856,Platform,User:Firefishy,05/05/07,Bakerloo,,
Stratford,51.541208,-0.003776,Central Line Platform,User:Gagravarr,18/11/06,"Central, Jubilee, London Overground",Unsure- (Steps at the very least),
Stratford,51.541146,-0.002675,Entrance,User:Gagravarr,18/11/06,"Central, Jubilee, London Overground",,
Sudbury Hill,51.556998,-0.335949,Entrance,User:Firefishy,31/10/06,Piccadilly,,
Sudbury Town,51.55093,-0.31598,Platform,User:Mattwestcott,28/01/07,Piccadilly,,
Surrey Quays,51.49365,-0.04816,Platforms,User:Morwen,07/05/07,"East London, Jubilee",,
Swiss Cottage,51.54333,-0.17436,Avenue Road entrance,User:Mattwestcott,31/07/07,Jubilee,,
Temple,51.51114,-0.11341,Entrance,User:Mattwestcott,18/05/07,"Circle, District",,
Theydon Bois,51.67246,0.10354,platforms,User:Morwen,21/04/07,Central,,
Tooting Bec,51.43578971,-0.159635693,Entrance,User:Firefishy,07/05/07,Northern,,
Tooting Broadway,51.42780008,-0.167910811,Entrance,User:Firefishy,07/05/07,Northern,,
Tottenham Court Road,51.5164,-0.13027,??,User:Steve,10/02/06,"Central, Northern",No (Escalators),
Tottenham Court Road,51.51672074,-0.13093911,Entrance,User:Gagravarr,12/08/06,"Central, Northern",No (Steps from street level/Escaltors),
Tottenham Hale,51.588878,-0.059808,Mainline Platform,User:TomH,27/01/07,Victoria,,
Totteridge & Whetstone,51.63022,-0.17917,Entrance,User:Kake,2007-04-24,Northern,,
Tower Hill,51.50991,-0.076813,Entrance,User:Gagravarr,30/10/06,"Circle, District",No (Steps from street level),
Tufnell Park,51.55663,-0.13813,Entrance,User:Morwen,02/06/07,Northern,,
Turnham Green,51.495143,-0.25406,Platform,User:Gagravarr,24/11/06,District,,
Turnpike Lane,51.59031,-0.10308,entrance,User:Morwen,16/05/07,Piccadilly,No (Escalators),
Upminster,51.55925,0.25177,platforms,User:Morwen,21/04/07,District,,
Upminster Bridge,51.55847,0.23509,platforms,User:Morwen,21/04/07,District,,
Upney,51.53824,0.09998,platforms,User:Morwen,21/04/07,District,,
Upton Park,51.53514,0.03373,platforms,User:Morwen,21/04/07,"District, Hammersmith & City",,
Uxbridge,51.54687,-0.47725,Platform,User:Mattwestcott,28/01/07,"Piccadilly, Metropolitan",Yes ( Flat access from street),
Vauxhall,51.48603,-0.12369,Entrance,User:Mattwestcott,27/01/07,Victoria,No ( Escalators),
Victoria,51.49662869,-0.14400853,C/D Platform,User:Gagravarr,08/09/06,"Circle, District, Victoria",No ( Steps from street level/ Escalators),
Walthamstow Central,51.58293,-0.01996,mainline platforms,Morwen,01/04/07,Victoria,No ( Steps to Booking hall),
Wanstead,51.57565,0.02864,Entrance Hall,User:Firefishy,15/08/07,Central,,
Wapping,51.50451,-0.05607,Exit,User:Morwen,07/05/07,East London,,
Warren Street,51.5245,-0.1381,??,User:Steve,11/02/06,"Northern, Victoria",No (Escalators),
Warwick Avenue,51.52329728,-0.183777837,Platform,User:Firefishy,05/05/07,Bakerloo,,
